Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
206,Samuel Bamba,GER,FW,Dortmund,Bundesliga,19,2,0,47,0.5,0,0,0,0,0.00,0.00,0.51,0.15,0.67,0.51,0.67
207,Lameck Banda,ZAM,FW,Lecce,Serie A,22,21,17,1350,15.0,2,4,6,2,0.13,0.27,0.24,0.13,0.37,0.24,0.37
208,Daniel Bandeira,POR,MF,Hellas Verona,Serie A,23,14,3,446,5.0,0,0,0,0,0.00,0.00,0.01,0.04,0.06,0.01,0.06
209,Mamady Bangré,BFA,"FW,MF",Toulouse,Ligue 1,22,8,0,101,1.1,0,1,1,0,0.00,0.89,0.12,0.59,0.71,0.12,0.71
210,Mattia Bani,ITA,DF,Genoa,Serie A,29,27,27,2306,25.6,2,0,2,2,0.08,0.00,0.05,0.00,0.05,0.05,0.05
211,Léo Baptistão,BRA,FW,Almería,La Liga,30,32,22,1837,20.4,6,0,6,6,0.29,0.00,0.25,0.09,0.34,0.25,0.34
212,Shandon Baptiste,GRN,MF,Brentford,Premier League,25,10,2,229,2.5,1,1,2,1,0.39,0.39,0.35,0.08,0.43,0.35,0.43
213,Antonín Barák,CZE,"MF,FW",Fiorentina,Serie A,28,21,8,808,9.0,2,3,5,2,0.22,0.33,0.17,0.25,0.42,0.17,0.42
214,Valentín Barco,ARG,"DF,FW",Brighton,Premier League,19,6,3,307,3.4,0,0,0,0,0.00,0.00,0.05,0.07,0.13,0.05,0.13
215,Bradley Barcola,FRA,FW,Lyon,Ligue 1,20,3,3,270,3.0,0,0,0,0,0.00,0.00,0.02,0.10,0.12,0.02,0.12
216,Bradley Barcola,FRA,"FW,MF",Paris S-G,Ligue 1,20,25,18,1370,15.2,4,7,11,4,0.26,0.46,0.30,0.34,0.64,0.30,0.64
217,Melvin Bard,FRA,DF,Nice,Ligue 1,22,32,31,2654,29.5,1,2,3,1,0.03,0.07,0.02,0.10,0.11,0.02,0.11
218,Nicolò Barella,ITA,MF,Inter,Serie A,26,37,34,2846,31.6,2,3,5,2,0.06,0.09,0.16,0.11,0.27,0.16,0.27
219,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,26,16,3,303,3.4,0,0,0,0,0.00,0.00,0.07,0.14,0.20,0.07,0.20
220,Ross Barkley,ENG,MF,Luton Town,Premier League,29,32,30,2618,29.1,5,4,9,5,0.17,0.14,0.14,0.13,0.27,0.14,0.27
221,Aymen Barkok,MAR,"MF,FW",Mainz 05,Bundesliga,25,13,1,321,3.6,1,0,1,1,0.28,0.00,0.48,0.07,0.55,0.26,0.33
222,Harvey Barnes,ENG,"FW,MF",Newcastle Utd,Premier League,25,21,7,802,8.9,5,3,8,5,0.56,0.34,0.40,0.36,0.76,0.40,0.76
