Rk,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90
1403,44.090909090909086,0.9090909090909091,0.0,0.0,20.909090909090907,106.81818181818181,43.63636363636363,1.8181818181818181,0.0,0.9090909090909091,0.0,1.3636363636363635,23.636363636363633,4.090909090909091
1404,53.70689655172414,0.9913793103448276,0.5172413793103449,52.2,39.87068965517241,184.8706896551724,71.37931034482759,0.9913793103448276,1.3793103448275863,0.25862068965517243,1.3362068965517242,0.646551724137931,36.76724137931035,4.181034482758621
1405,54.01315789473684,7.236842105263158,3.322368421052632,45.9,36.809210526315795,304.60526315789474,157.10526315789474,6.052631578947369,3.5526315789473686,2.6644736842105265,1.9078947368421053,1.5789473684210527,42.631578947368425,8.75
1406,70.0,7.142857142857143,4.285714285714286,60.0,41.42857142857143,294.2857142857143,70.0,0.0,1.4285714285714286,0.0,5.714285714285714,4.285714285714286,52.85714285714286,8.571428571428571
1407,49.354838709677416,5.806451612903226,2.258064516129032,38.9,30.64516129032258,205.48387096774192,80.64516129032258,2.5806451612903225,1.9354838709677418,0.9677419354838709,4.838709677419355,1.6129032258064515,31.93548387096774,7.741935483870967
1408,35.614035087719294,2.631578947368421,0.8771929824561403,33.3,24.912280701754383,129.64912280701753,43.24561403508772,1.0526315789473684,0.9649122807017544,0.2631578947368421,3.333333333333333,1.6666666666666665,27.36842105263158,7.456140350877193
1409,65.3157894736842,1.6842105263157894,0.9473684210526315,56.3,40.26315789473684,232.10526315789474,137.42105263157896,3.3684210526315788,1.9473684210526316,0.6842105263157895,0.8421052631578947,0.5263157894736842,44.473684210526315,4.947368421052632
1410,44.74654377880184,1.4746543778801844,0.5069124423963134,34.4,27.926267281105993,174.0552995391705,92.7188940092166,2.672811059907834,1.8433179723502304,0.5529953917050692,1.7511520737327189,1.2903225806451613,31.290322580645164,4.055299539170507
1411,36.79245283018868,2.358490566037736,0.8018867924528302,34.0,26.367924528301888,131.50943396226415,50.37735849056604,1.5566037735849056,1.1320754716981132,0.7547169811320755,1.2735849056603774,1.2264150943396226,25.849056603773587,7.59433962264151
1412,31.725490196078432,1.6470588235294117,0.8627450980392157,52.4,22.58823529411765,107.68627450980392,35.68627450980392,0.8627450980392157,0.7843137254901961,0.39215686274509803,2.156862745098039,1.4509803921568627,22.235294117647058,5.647058823529412
1413,66.10687022900764,0.5725190839694657,0.26717557251908397,46.7,35.30534351145038,163.7404580152672,80.87786259541986,0.19083969465648856,0.3435114503816794,0.0,0.7633587786259542,0.03816793893129771,41.10687022900763,0.19083969465648856
1414,39.025270758122744,0.036101083032490974,0.0,0.0,27.72563176895307,131.6245487364621,64.69314079422382,0.0,0.0,0.0,0.036101083032490974,0.0,20.252707581227437,0.0
1415,93.0,0.0,0.0,,76.0,324.0,137.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0
1416,55.96638655462185,2.26890756302521,0.8403361344537815,37.0,30.7563025210084,170.16806722689074,75.21008403361344,2.0168067226890756,1.4285714285714286,0.42016806722689076,1.3445378151260503,1.680672268907563,36.80672268907563,3.445378151260504
1417,84.82233502538071,2.436548223350254,1.16751269035533,47.9,51.16751269035533,267.20812182741116,146.85279187817258,3.1472081218274113,2.8426395939086295,0.8629441624365483,1.3705583756345179,0.8629441624365483,60.71065989847716,4.974619289340102
1418,70.0,0.9638554216867469,0.24096385542168672,25.0,35.54216867469879,158.43373493975903,73.01204819277108,1.8072289156626504,1.686746987951807,0.36144578313253006,1.2048192771084336,0.48192771084337344,42.40963855421686,3.7349397590361444
1419,74.87878787878788,1.1515151515151516,0.5757575757575758,50.0,49.0,277.1515151515151,113.63636363636364,1.3636363636363635,1.5454545454545454,0.09090909090909091,0.6363636363636364,0.36363636363636365,44.27272727272727,2.9696969696969697
1420,61.06382978723404,1.3829787234042552,0.3191489361702127,23.1,37.659574468085104,139.36170212765956,51.38297872340425,0.9574468085106382,1.276595744680851,0.425531914893617,1.4893617021276595,1.9148936170212765,52.234042553191486,5.8510638297872335
1421,90.0,0.0,0.0,,60.0,330.0,100.0,10.0,0.0,0.0,10.0,0.0,40.0,20.0
1422,52.156862745098046,3.1372549019607847,1.3725490196078431,43.8,31.176470588235297,165.29411764705884,78.43137254901961,2.1568627450980395,2.5490196078431375,0.7843137254901962,3.9215686274509807,2.5490196078431375,34.50980392156863,5.490196078431373
1423,31.103896103896105,2.5324675324675323,1.103896103896104,43.6,21.103896103896105,104.6103896103896,37.98701298701299,1.1688311688311688,1.0389610389610389,0.9090909090909091,2.2727272727272725,1.5584415584415585,22.467532467532468,7.467532467532467
1424,42.95081967213115,2.7868852459016393,0.9836065573770493,35.3,31.475409836065577,203.11475409836066,88.85245901639345,2.459016393442623,3.114754098360656,0.6557377049180328,1.8032786885245902,1.1475409836065575,31.14754098360656,3.7704918032786887
1425,53.43137254901961,1.8627450980392157,0.5882352941176471,31.6,34.70588235294118,205.0980392156863,119.41176470588236,3.823529411764706,1.6666666666666667,1.1764705882352942,2.1568627450980395,0.19607843137254904,37.450980392156865,6.274509803921569
1426,55.38461538461539,2.307692307692308,1.4285714285714286,61.9,26.703296703296704,137.36263736263737,79.12087912087912,1.5384615384615385,1.098901098901099,0.21978021978021978,0.5494505494505495,0.32967032967032966,29.12087912087912,3.296703296703297
1427,19.55223880597015,0.6716417910447761,0.29850746268656714,44.4,10.671641791044776,48.582089552238806,17.686567164179102,0.5970149253731343,0.44776119402985076,0.5223880597014925,1.5671641791044775,0.5970149253731343,14.104477611940299,4.701492537313433
1428,140.0,0.0,0.0,,100.0,230.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
